system_id,display_name
BAWUEB,Baden-Würrtemberg
BAYERN,Bayern
BERLIN,Berlin
BRANBU,Brandenburg
BREMEN,Bremen
HAMURG,Hamburg
HESSEN,Hessen
MECVOR,Mecklenburg-Vorpommern
NIESAC,Niedersachsen
NORWES,Nordrhein-Westfalen
RHEPFA,Rheinland-Pfalz
SAALAN,Saarland
SACHSE,Sachsen
SACANH,Sachsen-Anhalt
SCHHOL,Schleswig-Holstein
THURIN,Thüringen
