liquibase_pickup_districts_import_system_id,liquibase_trash_types_import_system_id,date
HUESIX,HUERED,2024-02-13
HUESIX,HUERED,2024-03-11
HUESIX,HUERED,2024-04-08
HUESIX,HUERED,2024-05-06
HUESIX,HUERED,2024-06-03
HUESIX,HUERED,2024-07-01
HUESIX,HUERED,2024-07-29
HUESIX,HUERED,2024-08-26
HUESIX,HUERED,2024-09-23
HUESIX,HUERED,2024-10-21
HUESIX,HUERED,2024-11-18
HUESIX,HUERED,2024-12-16

HUEONE,HUEORA,2024-01-08
HUEONE,HUEORA,2024-01-22
HUEONE,HUEORA,2024-02-05
HUEONE,HUEORA,2024-02-19
HUEONE,HUEORA,2024-03-04
HUEONE,HUEORA,2024-03-18
HUEONE,HUEORA,2024-04-02
HUEONE,HUEORA,2024-04-15
HUEONE,HUEORA,2024-05-13
HUEONE,HUEORA,2024-05-27
HUEONE,HUEORA,2024-06-10
HUEONE,HUEORA,2024-06-24
HUEONE,HUEORA,2024-07-08
HUEONE,HUEORA,2024-07-22
HUEONE,HUEORA,2024-08-05
HUEONE,HUEORA,2024-08-19
HUEONE,HUEORA,2024-09-02
HUEONE,HUEORA,2024-09-16
HUEONE,HUEORA,2024-09-30
HUEONE,HUEORA,2024-10-14
HUEONE,HUEORA,2024-10-28
HUEONE,HUEORA,2024-11-11
HUEONE,HUEORA,2024-11-25
HUEONE,HUEORA,2024-12-09
HUEONE,HUEORA,2024-12-21

HUETWO,HUEORA,2024-01-08
HUETWO,HUEORA,2024-01-22
HUETWO,HUEORA,2024-02-05
HUETWO,HUEORA,2024-02-19
HUETWO,HUEORA,2024-03-04
HUETWO,HUEORA,2024-03-18
HUETWO,HUEORA,2024-04-02
HUETWO,HUEORA,2024-04-15
HUETWO,HUEORA,2024-05-13
HUETWO,HUEORA,2024-05-27
HUETWO,HUEORA,2024-06-10
HUETWO,HUEORA,2024-06-24
HUETWO,HUEORA,2024-07-08
HUETWO,HUEORA,2024-07-22
HUETWO,HUEORA,2024-08-05
HUETWO,HUEORA,2024-08-19
HUETWO,HUEORA,2024-09-02
HUETWO,HUEORA,2024-09-16
HUETWO,HUEORA,2024-09-30
HUETWO,HUEORA,2024-10-14
HUETWO,HUEORA,2024-10-28
HUETWO,HUEORA,2024-11-11
HUETWO,HUEORA,2024-11-25
HUETWO,HUEORA,2024-12-09
HUETWO,HUEORA,2024-12-21

HUETHR,HUEORA,2024-01-08
HUETHR,HUEORA,2024-01-22
HUETHR,HUEORA,2024-02-05
HUETHR,HUEORA,2024-02-19
HUETHR,HUEORA,2024-03-04
HUETHR,HUEORA,2024-03-18
HUETHR,HUEORA,2024-04-02
HUETHR,HUEORA,2024-04-15
HUETHR,HUEORA,2024-05-13
HUETHR,HUEORA,2024-05-27
HUETHR,HUEORA,2024-06-10
HUETHR,HUEORA,2024-06-24
HUETHR,HUEORA,2024-07-08
HUETHR,HUEORA,2024-07-22
HUETHR,HUEORA,2024-08-05
HUETHR,HUEORA,2024-08-19
HUETHR,HUEORA,2024-09-02
HUETHR,HUEORA,2024-09-16
HUETHR,HUEORA,2024-09-30
HUETHR,HUEORA,2024-10-14
HUETHR,HUEORA,2024-10-28
HUETHR,HUEORA,2024-11-11
HUETHR,HUEORA,2024-11-25
HUETHR,HUEORA,2024-12-09
HUETHR,HUEORA,2024-12-21

HUEFOU,HUEORA,2024-01-08
HUEFOU,HUEORA,2024-01-22
HUEFOU,HUEORA,2024-02-05
HUEFOU,HUEORA,2024-02-19
HUEFOU,HUEORA,2024-03-04
HUEFOU,HUEORA,2024-03-18
HUEFOU,HUEORA,2024-04-02
HUEFOU,HUEORA,2024-04-15
HUEFOU,HUEORA,2024-05-13
HUEFOU,HUEORA,2024-05-27
HUEFOU,HUEORA,2024-06-10
HUEFOU,HUEORA,2024-06-24
HUEFOU,HUEORA,2024-07-08
HUEFOU,HUEORA,2024-07-22
HUEFOU,HUEORA,2024-08-05
HUEFOU,HUEORA,2024-08-19
HUEFOU,HUEORA,2024-09-02
HUEFOU,HUEORA,2024-09-16
HUEFOU,HUEORA,2024-09-30
HUEFOU,HUEORA,2024-10-14
HUEFOU,HUEORA,2024-10-28
HUEFOU,HUEORA,2024-11-11
HUEFOU,HUEORA,2024-11-25
HUEFOU,HUEORA,2024-12-09
HUEFOU,HUEORA,2024-12-21

HUEFIV,HUEORA,2024-01-08
HUEFIV,HUEORA,2024-01-22
HUEFIV,HUEORA,2024-02-05
HUEFIV,HUEORA,2024-02-19
HUEFIV,HUEORA,2024-03-04
HUEFIV,HUEORA,2024-03-18
HUEFIV,HUEORA,2024-04-02
HUEFIV,HUEORA,2024-04-15
HUEFIV,HUEORA,2024-05-13
HUEFIV,HUEORA,2024-05-27
HUEFIV,HUEORA,2024-06-10
HUEFIV,HUEORA,2024-06-24
HUEFIV,HUEORA,2024-07-08
HUEFIV,HUEORA,2024-07-22
HUEFIV,HUEORA,2024-08-05
HUEFIV,HUEORA,2024-08-19
HUEFIV,HUEORA,2024-09-02
HUEFIV,HUEORA,2024-09-16
HUEFIV,HUEORA,2024-09-30
HUEFIV,HUEORA,2024-10-14
HUEFIV,HUEORA,2024-10-28
HUEFIV,HUEORA,2024-11-11
HUEFIV,HUEORA,2024-11-25
HUEFIV,HUEORA,2024-12-09
HUEFIV,HUEORA,2024-12-21

HUESIX,HUEORA,2024-01-08
HUESIX,HUEORA,2024-01-22
HUESIX,HUEORA,2024-02-05
HUESIX,HUEORA,2024-02-19
HUESIX,HUEORA,2024-03-04
HUESIX,HUEORA,2024-03-18
HUESIX,HUEORA,2024-04-02
HUESIX,HUEORA,2024-04-15
HUESIX,HUEORA,2024-05-13
HUESIX,HUEORA,2024-05-27
HUESIX,HUEORA,2024-06-10
HUESIX,HUEORA,2024-06-24
HUESIX,HUEORA,2024-07-08
HUESIX,HUEORA,2024-07-22
HUESIX,HUEORA,2024-08-05
HUESIX,HUEORA,2024-08-19
HUESIX,HUEORA,2024-09-02
HUESIX,HUEORA,2024-09-16
HUESIX,HUEORA,2024-09-30
HUESIX,HUEORA,2024-10-14
HUESIX,HUEORA,2024-10-28
HUESIX,HUEORA,2024-11-11
HUESIX,HUEORA,2024-11-25
HUESIX,HUEORA,2024-12-09
HUESIX,HUEORA,2024-12-21

HUEONE,HUEBRO,2024-01-10
HUEONE,HUEBRO,2024-01-24
HUEONE,HUEBRO,2024-02-07
HUEONE,HUEBRO,2024-02-21
HUEONE,HUEBRO,2024-03-06
HUEONE,HUEBRO,2024-03-20
HUEONE,HUEBRO,2024-04-04
HUEONE,HUEBRO,2024-04-17
HUEONE,HUEBRO,2024-05-02
HUEONE,HUEBRO,2024-05-15
HUEONE,HUEBRO,2024-05-29
HUEONE,HUEBRO,2024-06-12
HUEONE,HUEBRO,2024-06-26
HUEONE,HUEBRO,2024-07-10
HUEONE,HUEBRO,2024-07-24
HUEONE,HUEBRO,2024-08-07
HUEONE,HUEBRO,2024-08-21
HUEONE,HUEBRO,2024-09-04
HUEONE,HUEBRO,2024-09-18
HUEONE,HUEBRO,2024-10-02
HUEONE,HUEBRO,2024-10-16
HUEONE,HUEBRO,2024-10-30
HUEONE,HUEBRO,2024-11-13
HUEONE,HUEBRO,2024-11-27
HUEONE,HUEBRO,2024-12-11
HUEONE,HUEBRO,2024-12-24

HUETWO,HUEBRO,2024-01-10
HUETWO,HUEBRO,2024-01-24
HUETWO,HUEBRO,2024-02-07
HUETWO,HUEBRO,2024-02-21
HUETWO,HUEBRO,2024-03-06
HUETWO,HUEBRO,2024-03-20
HUETWO,HUEBRO,2024-04-04
HUETWO,HUEBRO,2024-04-17
HUETWO,HUEBRO,2024-05-02
HUETWO,HUEBRO,2024-05-15
HUETWO,HUEBRO,2024-05-29
HUETWO,HUEBRO,2024-06-12
HUETWO,HUEBRO,2024-06-26
HUETWO,HUEBRO,2024-07-10
HUETWO,HUEBRO,2024-07-24
HUETWO,HUEBRO,2024-08-07
HUETWO,HUEBRO,2024-08-21
HUETWO,HUEBRO,2024-09-04
HUETWO,HUEBRO,2024-09-18
HUETWO,HUEBRO,2024-10-02
HUETWO,HUEBRO,2024-10-16
HUETWO,HUEBRO,2024-10-30
HUETWO,HUEBRO,2024-11-13
HUETWO,HUEBRO,2024-11-27
HUETWO,HUEBRO,2024-12-11
HUETWO,HUEBRO,2024-12-24

HUETHR,HUEBRO,2024-01-10
HUETHR,HUEBRO,2024-01-24
HUETHR,HUEBRO,2024-02-07
HUETHR,HUEBRO,2024-02-21
HUETHR,HUEBRO,2024-03-06
HUETHR,HUEBRO,2024-03-20
HUETHR,HUEBRO,2024-04-04
HUETHR,HUEBRO,2024-04-17
HUETHR,HUEBRO,2024-05-02
HUETHR,HUEBRO,2024-05-15
HUETHR,HUEBRO,2024-05-29
HUETHR,HUEBRO,2024-06-12
