system_id,display_name
STBAWUEB,Baden-Würrtemberg
STBAYERN,Bayern
STBERLIN,Berlin
STBRANBU,Brandenburg
STBREMEN,Bremen
STHAMURG,Hamburg
STHESSEN,Hessen
STMECVOR,Mecklenburg-Vorpommern
STNIESAC,Niedersachsen
STNORWES,Nordrhein-Westfalen
STRHEPFA,Rheinland-Pfalz
STSAALAN,Saarland
STSACHSE,Sachsen
STSACANH,Sachsen-Anhalt
STSCHHOL,Schleswig-Holstein
STTHURIN,Thüringen
